"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 15, 2020","184.50","187.90","189.95","183.00","58.52M","-0.83%"
"Jul 14, 2020","186.05","192.30","192.30","184.60","62.24M","-3.45%"
"Jul 13, 2020","192.70","198.80","199.80","191.60","61.95M","-1.48%"
"Jul 10, 2020","195.60","198.00","202.50","194.80","111.41M","-1.76%"
"Jul 09, 2020","199.10","192.80","201.00","192.55","89.54M","3.75%"
"Jul 08, 2020","191.90","188.90","197.45","188.40","143.08M","1.75%"
"Jul 07, 2020","188.60","187.00","189.20","184.05","55.12M","0.29%"
"Jul 06, 2020","188.05","186.60","189.85","186.15","43.79M","1.81%"
"Jul 03, 2020","184.70","186.65","186.85","183.40","38.05M","-0.40%"
"Jul 02, 2020","185.45","185.65","188.00","184.00","52.13M","0.35%"
"Jul 01, 2020","184.80","179.45","185.40","178.60","54.02M","3.56%"
"Jun 30, 2020","178.45","181.10","182.90","177.25","43.62M","-0.45%"
"Jun 29, 2020","179.25","183.00","183.10","178.50","50.97M","-2.90%"
"Jun 26, 2020","184.60","188.00","188.60","183.80","49.18M","-0.35%"
"Jun 25, 2020","185.25","182.20","186.80","180.40","73.63M","0.35%"
"Jun 24, 2020","184.60","194.80","194.90","183.90","74.67M","-4.08%"
"Jun 23, 2020","192.45","189.60","193.10","187.85","65.49M","2.53%"
"Jun 22, 2020","187.70","185.00","191.75","184.25","80.02M","1.73%"
"Jun 19, 2020","184.50","180.30","184.95","179.50","76.90M","2.70%"
"Jun 18, 2020","179.65","172.40","180.65","171.10","58.26M","3.87%"
"Jun 17, 2020","172.95","171.00","176.20","169.25","73.87M","0.03%"
"Jun 16, 2020","172.90","178.00","178.95","169.40","63.93M","-0.46%"
"Jun 15, 2020","173.70","177.85","177.85","172.00","63.62M","-3.04%"
"Jun 12, 2020","179.15","170.00","180.00","169.80","92.76M","1.13%"
"Jun 11, 2020","177.15","188.00","190.40","176.35","91.73M","-5.62%"
"Jun 10, 2020","187.70","184.55","189.00","183.80","67.34M","1.76%"
"Jun 09, 2020","184.45","187.70","191.00","183.35","96.66M","-1.26%"
"Jun 08, 2020","186.80","197.00","197.50","185.80","151.75M","-0.53%"
"Jun 05, 2020","187.80","176.55","189.80","176.00","201.33M","7.90%"
"Jun 04, 2020","174.05","174.90","177.65","171.50","83.50M","-0.49%"
"Jun 03, 2020","174.90","172.50","179.90","172.00","113.17M","2.73%"
"Jun 02, 2020","170.25","169.90","171.30","167.20","70.42M","0.12%"
"Jun 01, 2020","170.05","164.00","171.40","163.35","92.74M","5.42%"
"May 29, 2020","161.30","156.10","161.90","155.20","58.37M","1.96%"
"May 28, 2020","158.20","159.45","162.40","156.70","76.97M","-0.25%"
"May 27, 2020","158.60","151.95","160.80","150.80","88.21M","4.76%"
"May 26, 2020","151.40","152.40","153.20","150.20","48.28M","0.36%"
"May 22, 2020","150.85","152.00","155.60","149.45","87.07M","-0.72%"
"May 21, 2020","151.95","153.65","156.15","151.50","61.15M","-0.95%"
"May 20, 2020","153.40","153.00","155.25","151.15","66.18M","0.39%"
"May 19, 2020","152.80","157.50","157.85","152.40","71.52M","-1.61%"
"May 18, 2020","155.30","166.40","166.40","155.00","77.35M","-6.67%"
"May 15, 2020","166.40","167.95","168.25","164.70","35.50M","-0.92%"
"May 14, 2020","167.95","170.95","171.75","167.50","48.14M","-3.53%"
"May 13, 2020","174.10","178.55","178.55","170.50","81.72M","4.31%"
"May 12, 2020","166.90","164.20","168.50","160.85","70.75M","0.88%"
"May 11, 2020","165.45","167.95","168.90","165.00","54.59M","-0.72%"
"May 08, 2020","166.65","172.45","173.80","166.10","55.94M","-2.40%"
"May 07, 2020","170.75","170.85","172.55","168.80","42.94M","-0.20%"
"May 06, 2020","171.10","171.15","173.30","166.55","73.16M","0.41%"
"May 05, 2020","170.40","181.00","181.25","168.80","91.05M","-4.72%"
"May 04, 2020","178.85","182.45","183.50","178.00","58.12M","-6.12%"
"Apr 30, 2020","190.50","193.50","195.90","189.70","63.07M","0.21%"
"Apr 29, 2020","190.10","185.00","191.80","183.50","57.47M","3.15%"
"Apr 28, 2020","184.30","182.00","185.35","181.20","49.59M","1.88%"
"Apr 27, 2020","180.90","183.50","183.50","180.50","43.00M","0.64%"
"Apr 24, 2020","179.75","184.00","184.00","179.00","65.15M","-3.72%"
"Apr 23, 2020","186.70","187.75","189.90","185.15","50.96M","-1.06%"
"Apr 22, 2020","188.70","185.50","189.50","181.35","61.50M","2.14%"
"Apr 21, 2020","184.75","188.00","188.20","183.00","53.04M","-4.03%"
"Apr 20, 2020","192.50","194.00","197.35","190.05","81.96M","-0.39%"
"Apr 17, 2020","193.25","196.00","198.00","186.30","89.86M","2.52%"
"Apr 16, 2020","188.50","182.00","189.90","180.25","61.17M","3.37%"
"Apr 15, 2020","182.35","187.00","191.95","180.15","72.19M","-0.63%"
"Apr 13, 2020","183.50","186.80","188.70","183.10","51.85M","-2.26%"
"Apr 09, 2020","187.75","188.00","190.00","183.60","62.42M","2.60%"
"Apr 08, 2020","183.00","182.90","194.40","180.45","80.44M","-1.82%"
"Apr 07, 2020","186.40","184.40","187.30","177.60","72.13M","6.21%"
"Apr 03, 2020","175.50","187.55","188.20","175.00","64.46M","-5.92%"
"Apr 01, 2020","186.55","194.00","194.50","185.25","52.95M","-5.23%"
"Mar 31, 2020","196.85","192.00","198.50","188.05","59.54M","5.32%"
"Mar 30, 2020","186.90","190.00","195.00","186.25","60.08M","-4.62%"
"Mar 27, 2020","195.95","202.00","211.90","195.00","114.75M","1.66%"
"Mar 26, 2020","192.75","191.55","201.00","185.10","107.26M","1.50%"
"Mar 25, 2020","189.90","178.00","195.25","176.45","71.57M","3.66%"
"Mar 24, 2020","183.20","190.95","191.95","173.55","67.49M","0.88%"
"Mar 23, 2020","181.60","190.00","199.50","180.25","61.75M","-13.46%"
"Mar 20, 2020","209.85","205.55","215.70","200.00","77.39M","3.04%"
"Mar 19, 2020","203.65","202.95","219.75","198.15","93.54M","-5.37%"
"Mar 18, 2020","215.20","221.00","223.15","200.10","101.41M","0.02%"
"Mar 17, 2020","215.15","227.20","229.90","212.05","65.41M","-3.67%"
"Mar 16, 2020","223.35","227.90","231.40","220.60","75.58M","-7.71%"
"Mar 13, 2020","242.00","200.00","248.80","184.65","155.70M","13.83%"
"Mar 12, 2020","212.60","231.90","231.90","208.60","99.77M","-13.26%"
"Mar 11, 2020","245.10","253.00","258.50","243.10","90.85M","-3.29%"
"Mar 09, 2020","253.45","260.05","262.75","251.15","101.29M","-6.30%"
"Mar 06, 2020","270.50","268.00","274.40","253.95","106.04M","-6.24%"
"Mar 05, 2020","288.50","290.90","298.40","270.00","149.25M","1.12%"
"Mar 04, 2020","285.30","291.80","293.00","275.10","73.68M","-1.57%"
"Mar 03, 2020","289.85","293.00","294.40","285.30","61.95M","0.85%"
"Mar 02, 2020","287.40","311.00","312.00","284.05","66.71M","-5.15%"
"Feb 28, 2020","303.00","312.00","314.65","301.10","59.71M","-5.89%"
"Feb 27, 2020","321.95","328.00","330.00","318.00","47.01M","-1.90%"
